0,1,2,3,4,5,6,7,8,9,10,11,12
ADBE201016C00615000,2020-09-21,3:55PM,EDT,615.00,0.35,0.00,0.00,0.00,-,5,0,12.50%
ADBE201016C00620000,2020-09-22,3:47PM,EDT,620.00,0.30,0.00,0.00,0.00,-,15,0,25.00%
ADBE201016C00625000,2020-09-22,1:50PM,EDT,625.00,0.10,0.00,0.00,0.00,-,2,0,25.00%
ADBE201016C00630000,2020-09-22,11:11AM,EDT,630.00,0.21,0.00,0.00,0.00,-,1,0,25.00%
ADBE201016C00635000,2020-09-18,10:05AM,EDT,635.00,0.11,0.00,0.00,0.00,-,1,0,25.00%
ADBE201016C00640000,2020-09-21,12:15PM,EDT,640.00,0.19,0.00,0.00,0.00,-,5,0,25.00%
ADBE201016C00645000,2020-09-15,2:29PM,EDT,645.00,1.05,0.00,0.00,0.00,-,2,0,25.00%
ADBE201016C00650000,2020-09-21,10:39AM,EDT,650.00,0.17,0.00,0.00,0.00,-,2,0,25.00%
ADBE201016C00655000,2020-09-04,2:59PM,EDT,655.00,2.96,0.00,0.00,0.00,-,4,0,25.00%
ADBE201016C00660000,2020-09-15,11:24AM,EDT,660.00,0.88,0.00,0.00,0.00,-,1,0,25.00%
ADBE201016C00665000,2020-09-08,9:44AM,EDT,665.00,1.47,0.00,0.00,0.00,-,1,0,25.00%
ADBE201016C00670000,2020-09-08,10:25AM,EDT,670.00,1.71,0.00,0.00,0.00,-,1,0,25.00%
ADBE201016C00675000,2020-09-18,12:13PM,EDT,675.00,0.13,0.00,0.00,0.00,-,1,0,25.00%
ADBE201016C00680000,2020-09-16,12:21PM,EDT,680.00,0.30,0.00,0.00,0.00,-,2,0,25.00%
ADBE201016C00690000,2020-09-16,1:36PM,EDT,690.00,0.30,0.00,0.00,0.00,-,3,0,25.00%
ADBE201016C00700000,2020-09-16,2:50PM,EDT,700.00,0.19,0.00,0.00,0.00,-,8,0,25.00%
ADBE201016C00705000,2020-08-27,12:50PM,EDT,705.00,1.55,0.00,0.00,0.00,-,2,0,25.00%
ADBE201016C00710000,2020-09-16,12:09PM,EDT,710.00,0.55,0.00,0.00,0.00,-,2,0,25.00%
ADBE201016C00720000,2020-09-04,11:30AM,EDT,720.00,0.06,0.00,0.00,0.00,-,1,0,25.00%
ADBE201016C00725000,2020-09-09,12:51PM,EDT,725.00,0.45,0.00,0.00,0.00,-,-,0,25.00%
ADBE201016C00730000,2020-09-03,9:30AM,EDT,730.00,3.71,0.00,0.00,0.00,-,-,0,25.00%
ADBE201016C00735000,2020-09-09,12:15PM,EDT,735.00,0.57,0.00,0.00,0.00,-,-,0,25.00%
ADBE201016C00740000,2020-09-02,3:40PM,EDT,740.00,3.15,0.00,0.00,0.00,-,-,0,25.00%
ADBE201016C00750000,2020-09-09,1:10PM,EDT,750.00,0.57,0.00,0.00,0.00,-,1,0,25.00%
ADBE201016C00755000,2020-09-02,1:11PM,EDT,755.00,1.89,0.00,0.00,0.00,-,1,0,25.00%
ADBE201016C00760000,2020-09-11,11:28AM,EDT,760.00,0.25,0.00,0.00,0.00,-,1,0,25.00%
ADBE201016C00765000,2020-09-16,9:30AM,EDT,765.00,0.21,0.00,0.00,0.00,-,1,0,25.00%
ADBE201016C00770000,2020-09-16,1:16PM,EDT,770.00,0.10,0.00,0.00,0.00,-,10,0,25.00%
ADBE201016C00775000,2020-09-10,9:34AM,EDT,775.00,0.33,0.00,0.00,0.00,-,-,0,25.00%
ADBE201016C00780000,2020-09-22,9:30AM,EDT,780.00,0.06,0.00,0.00,0.00,-,3,0,25.00%
ADBE201016C00785000,2020-09-04,9:39AM,EDT,785.00,0.95,0.00,0.00,0.00,-,1,0,25.00%
ADBE201016C00790000,2020-09-21,12:13AM,EDT,790.00,0.31,-,0.00,0.00,-,-,0,25.00%
